,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Recall Mean,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV Time (s),Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Fit Time Full Train (s)
SVM,0.8266890317770944,0.028160063210198434,0.8284701408302851,0.8266890317770944,0.8261107675161588,0.027731415681128028,0.8786801094118168,0.025473136280955034,0.4688,0.842391304347826,0.8430940034569873,0.842391304347826,0.8414920969496837,0.9184600669536107,0.2085
Random Forest,0.814434815021899,0.03333091952927326,0.8152035731895675,0.814434815021899,0.813874317270099,0.03317347254847701,0.8759472706356174,0.015116837021579812,1.1868,0.8315217391304348,0.8329644415111955,0.8315217391304348,0.8301898346601347,0.9021999043519847,0.2753
Gradient Boosting,0.8116950889945018,0.036928351006232034,0.8134764891188366,0.8116950889945018,0.8112371258163759,0.036850303177487845,0.8695304374437164,0.02136060220645565,0.7473,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.9050693448110951,0.2432
AdaBoost,0.8048178175379741,0.03823253410954904,0.8064665499862927,0.8048178175379741,0.8050764554159496,0.03801913846518844,0.8705118659319201,0.016775469687707704,0.8979,0.8206521739130435,0.8209043664974145,0.8206521739130435,0.8207539087599057,0.9167862266857962,0.2482
Logistic Regression,0.8035318236883795,0.021022832038302554,0.8056911745385568,0.8035318236883795,0.8037125631484349,0.02100703741003692,0.8810052158019637,0.019594869074215596,16.7911,0.8206521739130435,0.8205367367293414,0.8206521739130435,0.8199775484650921,0.9154710664753706,9.6266
Naive Bayes,0.7994222346472835,0.031805944975188856,0.8002399266265829,0.7994222346472835,0.7996507203704539,0.03167649658507957,0.8640795980091373,0.03048757973603756,0.198,0.8260869565217391,0.8258256688963211,0.8260869565217391,0.825857657291455,0.9076996652319465,0.0489
KNN,0.7953312831982108,0.028523944101210622,0.7973694063206185,0.7953312831982108,0.7955970373872792,0.0281426031203846,0.8569316681511804,0.028652232306193754,0.1547,0.8097826086956522,0.8100464708597627,0.8097826086956522,0.8098905092908091,0.8878527020564324,0.0218
XGBoost,0.7870748299319728,0.04643888454064579,0.7900509778343734,0.7870748299319728,0.7868064996116253,0.04587505686556646,0.851511978937453,0.027098700916207235,0.6632,0.8097826086956522,0.809568225354491,0.8097826086956522,0.8090670968569159,0.8633428981348638,0.1224
Decision Tree,0.7489143602646539,0.025205773952953,0.7521885203946373,0.7489143602646539,0.7489975358951403,0.024458805670449835,0.7350298411816027,0.0368013630021456,0.2317,0.7771739130434783,0.7766626912299404,0.7771739130434783,0.7763357420323872,0.7563964610234337,0.0393
