,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Recall Mean,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV Time (s),Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Fit Time Full Train (s)
Gradient Boosting,0.5239306681576741,0.017488021152117145,0.5194638779589429,0.5239306681576741,0.5192751507646356,0.02181619380008388,0.7728081456197167,0.015009802912219435,5.6411,0.5163043478260869,0.5282728837952665,0.5163043478260869,0.5208251091263848,0.7845440135870618,2.4216
Logistic Regression,0.4897959183673469,0.02429008131215391,0.5212614325458498,0.4897959183673469,0.5011470347278021,0.02319061378866426,0.7613299030304623,0.022342449364366336,16.063,0.4945652173913043,0.5488547403019854,0.4945652173913043,0.49959504374470853,0.7990186620012266,8.0265
Random Forest,0.5048550927220203,0.058586333005062254,0.49414457958544844,0.5048550927220203,0.4980594114451827,0.05931417900831392,0.7686369843028185,0.027449979175484654,1.5623,0.5,0.5031341023728332,0.5,0.5006212920749011,0.8061521372268957,0.3592
XGBoost,0.49794986487745785,0.023141143061964572,0.48786041649451956,0.49794986487745785,0.4913493608383613,0.021994703816443965,0.7617766608661068,0.021836171959534315,2.6753,0.4782608695652174,0.4766797096688416,0.4782608695652174,0.4759399520436729,0.7853982095421272,1.0918
SVM,0.47208088714938035,0.03789300682671757,0.5066291477751872,0.47208088714938035,0.486004450815845,0.03574723682653158,0.7571260837169796,0.019677871358028523,1.8145,0.4945652173913043,0.5304141339643066,0.4945652173913043,0.5096292332183909,0.7915262312776598,0.8922
AdaBoost,0.47750442642810553,0.023916620521914088,0.483453324693374,0.47750442642810553,0.4776092999878335,0.01658754912065021,0.718282173094587,0.017442888881207052,1.2963,0.47282608695652173,0.5021695670703953,0.47282608695652173,0.4831896904086232,0.7326996500812912,0.3921
Decision Tree,0.4515795359239586,0.06409672478856068,0.49447704601758896,0.4515795359239586,0.4667219112256296,0.05666509646676546,0.6710509136200045,0.04365145521982509,0.2497,0.4673913043478261,0.4969962401715723,0.4673913043478261,0.48023267048347235,0.6799302102213893,0.0453
KNN,0.43248532289628183,0.03274218356105241,0.5053212964530958,0.43248532289628183,0.4574767391829793,0.02909389226509053,0.6957741472246003,0.02230824403884407,0.1891,0.47282608695652173,0.5555753702572029,0.47282608695652173,0.501831658573782,0.7385642428411122,0.0344
Naive Bayes,0.4353182368837946,0.047029022981598605,0.4872879868732958,0.4353182368837946,0.4432302919798404,0.043324561122816116,0.7465765984945008,0.014073133738628113,0.2401,0.46195652173913043,0.5500436206957946,0.46195652173913043,0.4754811587278505,0.7809490307166707,0.032
